2024 date,Location,State or territory,Dead,Injured,Total,Description
July 15,Minneapolis (3),Minnesota,1,5,6,One person was killed and five other people were injured in a shooting at an encampment in the Ventura Village neighborhood of Phillips on the city's south side. One man was arrested on obstruction charges and unrelated warrants.[221]
July 14,Goose Creek,South Carolina,1,3[n 1],4,"A male teenager opened fire on three women, including two other teenagers, as they attempted to enter a vehicle at an apartment complex. After killing one of the teenagers, the shooter then shot himself.[222]"
July 14,Indianapolis (6),Indiana,0,5,5,"Five people, including a boy, were injured in a shooting at a basketball court in the Carson Heights neighborhood on the city's south side.[223]"
July 14,Holly Springs,Mississippi,4[n 1],0,4,Officers responding to a home found three women shot to death in a car and a man dead on the driveway. Investigators later determined it was a murder-suicide.[224]
July 14,Chicago (18),Illinois,0,4,4,Four people were wounded when someone fired multiple shots into the group during a celebration in the Jeffery Manor neighborhood of the city's south side.[225]
July 13,New Haven (1),Connecticut,0,4,4,Four people were shot in the Newhallville neighborhood on the city's north side.[226]
July 13,Birmingham (3),Alabama,4,10,14,A drive-by shooting in the city's north side killed four people and injured ten others at a birthday party held by a social club.[227]
July 13,Meridian,Pennsylvania,2[n 1],3,5,"Attempted assassination of Donald Trump in Pennsylvania: A man opened fire on former President Donald Trump during a campaign rally being held at the Butler Farm Show fairground from atop a nearby roof, killing an audience member, grazing Trump on the ear, and critically injuring two other audience members.[228] The man was then killed by a Secret Service sniper.[229] A Butler Township officer who attempted to climb onto the roof to confront the shooter severely injured his ankle when he fell off the roof when the man pointed his rifle at him just before opening fire on the rally.[230]"
July 12,Louisville (6),Kentucky,0,5,5,Three women and two men were shot in the Russell neighborhood.[231]
July 12,Wichita (2),Kansas,1,4,5,"Four people were found shot, one fatally, in the city's southwest side. One of the victims critically wounded in the same shooting was also found in the South Seneca neighborhood.[232]"
July 12,Chicago (17),Illinois,0,5,5,A drive-by shooting in the North Lawndale neighborhood on the city's west side left five people wounded.[233]
July 11,Wichita (1),Kansas,0,4,4,"Two males opened fire on a group of teenagers, wounding all four, in the Murdock neighborhood.[234]"
July 10,Alameda,California,5,0,5,"A man fatally shot his wife, her parents, and two of his sons at their home before being arrested.[235]"
July 10,Boston (1),Massachusetts,0,5,5,"Five people, including an 11-year-old, were shot while celebrating at a gathering in the Dorchester neighborhood.[236]"
July 9,Charlotte (4),North Carolina,1,3,4,A drug deal gone wrong resulted in a shooting that killed one and injured three in the Westover Hills neighborhood in the city's west side.[237]
July 8,Fort Lauderdale,Florida,2,3,5,"Two people were killed and three others, including a two-year-old, were injured in a drive-by shooting.[238]"
July 8,Washington (9),District of Columbia,0,4,4,Four people were injured near the Navy Yard neighborhood of southeast DC.[239]
July 8,New Bedford,Massachusetts,0,6,6,A shooting at a playground left six people injured.[240]
July 7,Washington County,North Carolina,1,3,4,A man was killed and three others were injured when shots were fired at a house party at a home north of Roper.[241]
July 7,Detroit (6),Michigan,2,19[n 2],21,A block party shooting left two dead and nineteen injured in the Mohican Regent neighborhood on the city's northeast side. Teenagers were among the victims.[242]
July 6,Akron (2),Ohio,0,4,4,A toddler and three adults were injured in the Goodyear Heights neighborhood.[243]
July 6,Milwaukee (3),Wisconsin,0,4,4,"Four people, including three teenagers, were shot in the Williamsburg neighborhood.[244]"
July 6,Florence,Kentucky,5[n 1],3,8,2024 Florence shooting: Four people were killed and three others were injured in a shooting at a residence. The shooter fled the scene in a vehicle and was pursued by police before committing suicide and crashing his car into a ditch.[245][246]
July 5,Clarksdale (1),Mississippi,1,3,4,A drive-by shooting left a man dead and three other men injured when they were fired upon while sitting in a car together.[247]
July 5,Poughkeepsie,New York,0,4,4,Four people were shot overnight along the city's main street.[248]
July 5,Pontiac,Michigan,0,5,5,"A fight during a party escalated when someone opened fire into a crowd, striking five teenage boys.[249]"
July 5,Albany (2),Georgia,1,3,4,"A fight in a nightclub was brought out into the parking lot where multiple people retrieved guns and opened fire, killing a man and injuring three others.[250]"
July 5,Tampa (3),Florida,0,4,4,"Four people, including a security guard, were injured after a fight between two suspects escalated into a shooting at an adult entertainment club.[251]"
July 5,Albany,New York,0,6,6,Six teenagers were shot during a large Independence Day party at home.[252]
July 5,Chicago (16),Illinois,1,6,7,"A shootout between two individuals killed one person and wounded six, including a 15-year-old boy in the Austin neighborhood on the city's west side.[253]"
July 5,Chicago (15),Illinois,0,8,8,Eight people were wounded during a shootout between two individuals in the Little Italy neighborhood in the city's west side.[253]
July 4,Ocean Springs,Mississippi,0,7,7,"A man fired a round of birdshot at a neighbor's Independence Day party, injuring seven, including multiple children.[254]"
July 4,Spanish Lake,Missouri,1,5,6,A man was killed and five others were injured.[255]
July 4,St. Louis (4),Missouri,0,7,7,"Seven people, including four teenagers, were wounded in a shooting in Downtown St. Louis.[255][256]"
July 4,Nashville (4),Tennessee,0,4,4,Four people were struck by celebratory gunfire in Downtown Nashville during an Independence Day celebration.[257]
July 4,Fort Worth (2),Texas,3,3[n 2],6,A fight at a car wash in the Far Southwest neighborhood developed into a shooting in which a man fatally shot another man as well as a baby and a toddler and injured two others. During the gunfire the shooter was also injured.[258]
July 4,Philadelphia (9),Pennsylvania,1,8,9,A man was killed and eight others were injured in a drive-by shooting in the city's southwest side.[259]
July 4,Indianapolis (5),Indiana,1,3[n 2],4,"A dispute over fireworks led to a man opening fire on a group in the Marian - Cold Springs, killing a woman, before he was fired back upon and injured.[260]"
July 4,Chicago (14),Illinois,3,2,5,Two adults and a child were killed and two other children were wounded in the Greater Grand Crossing neighborhood on the city's south side after a personal dispute escalated.[261]
July 2,Knoxville,Tennessee,3[n 2],1,4,"Two men opened fire outside a bar in northwest Knoxville, killing two, including a security guard, and wounding another. One of the shooters later fatally shot himself on July 11 in a Jacksonville, Florida hotel room after U.S. Marshals closed in on him.[262]"
July 1,Philadelphia (8),Pennsylvania,0,5[n 2],5,Five people were wounded during a shootout at a Chinese restaurant in the Grays Ferry neighborhood in the city's south side.[263][264]
July 1,Charleston,Missouri,0,6,6,Six people were shot in a civic center parking lot.[265]
July 1,Cincinnati (2),Ohio,3,1,4,"Four people were shot, three fatally, in a shooting in Corryville near the campus of the University of Cincinnati.[266][267]"
June 29,Screven County,Georgia,0,6,6,Six people were wounded during a block party when multiple shooters opened fire at a fireworks festival in the Lawton Place neighborhood near Sylvania.[268][269]
June 29,Coweta County,Georgia,4[n 1],0,4,A man shot and killed three people at a home before killing himself.[270]
June 28,Crete,Nebraska,1[n 1],7,8,"A man opened fire at a home across from his, wounding seven, including four children. After police made entry into the shooter's house they found him dead of a self-inflicted gunshot wound.[271] The victims were Guatemalan immigrants, and authorities are investigating if there was a racial motive.[272]"
June 28,Niagara Falls,New York,0,4,4,"A fight escalated into a shooting that wounded four, including a teenage boy, shortly after midnight.[273]"
June 28,Corpus Christi (1),Texas,2,3,5,Two teenagers were killed and three others were injured in a midnight shooting in the city's west side.[274]
June 26,Lancaster (1),California,2,5,7,Two men were killed and five others were injured when a group of men outside an apartment complex were fired upon.[275]
June 26,Milwaukee (2),Wisconsin,0,4,4,"Four people were injured in a targeted shooting at a BP gas station, including two children, in the White Manor neighborhood.[276]"
June 24,North Las Vegas (2),Nevada,6[n 1],1,7,Five people were killed and a teenage girl was critically injured at an apartment complex. The suspect later committed suicide  after being located by officers.[277]
June 24,Manatee County & Memphis,Florida,4[n 1],0,4,"A man drove to a Motel 6 east of Bradenton where he fatally shot his mother. He then drove to a home in Memphis where he killed one of his cousins. Finally, he drove to a home south of West Bradenton where he killed his final victim, the friend of one of his ex-girlfriends. During the early morning of the following day the shooter was killed in a shoot-out with Hamilton County Sheriff's Office deputies at a service station off Interstate 75.[278][279]"
June 24,York,Pennsylvania,0,4,4,Four teenage girls were shot during the early evening.[280]
June 24,Dayton (2),Ohio,1[n 1],4,5,"Four people, including an 11-year-old boy, were injured in a domestic related shooting in the Greenwich Village neighborhood. The suspect was also injured and drove himself to a hospital where he later died.[281]"
June 24,Dayton (1),Ohio,2,5,7,A woman was killed and six others were injured in a drive-by shooting in the MacFarlane neighborhood. One of the victims who was a teenager later died.[282]
June 23,Trenton,New Jersey,0,4,4,Four people were shot in the Greenwood & Hamilton neighborhood during the early morning.[283]
June 23,Vallejo,California,0,4,4,Four people were shot during the early morning hours.[284]
June 23,Winston-Salem,North Carolina,1,4[n 1],5,"An 18-year-old man was killed and four others were injured, including the man who killed him, in an early morning shooting.[285]"
June 23,Montgomery (3),Alabama,0,9,9,"A shooting at a party wounded nine, including three juveniles, in the Boylston neighborhood. Four others were injured while fleeing the gunfire either in vehicular accidents or by broken glass.[286]"
June 23,St. Louis (3),Missouri,1,5,6,"A fight in Downtown St. Louis erupted in gunfire, killing a man and injuring five others. A police officer was assaulted while responding to the scene.[287]"
June 23,Rochester (1),New York,0,6,6,A fight at a park in Downtown Rochester escalated into a shooting that wounded six. While securing the scene a police officer was assaulted and suffered a knee injury by a man who was then arrested.[288]
June 23,Tampa (2),Florida,1,3,4,Jacksonville-based rapper Julio Foolio was killed and three others were injured in an 'ambush' shooting at the Holiday Inn parking lot near the University of South Florida campus.[289][290]
June 23,Columbus (4),Ohio,0,10,10,Ten people were shot in the Short North Arts District near Downtown Columbus.[291]
June 22,Henrico County (2),Virginia,0,6,6,Six adults were shot north of Glen Allen off of State Route 626 shortly before midnight.[292]
June 22,Canton,Mississippi,1,5,6,A 19-year-old man fatally shot another man and injured five others at a popular city hangout spot.[293]
June 22,Louisville (5),Kentucky,1,7,8,"Eight people were shot at a nightclub, with one man being killed, in the Russell neighborhood shortly after midnight.[294]"
June 21,Meridian,Mississippi,1,3,4,A man was killed and three others were injured in a shooting during the late afternoon.[295]
June 21,Washington (8),District of Columbia,0,4,4,Three men and a woman were shot in the Congress Heights neighborhood of southeast DC shortly before midnight.[296]
June 21,Fordyce,Arkansas,4,10[n 1],14,"2024 Fordyce shooting: A shooting at a local grocery store left four people dead and nine others injured, including two police officers. The shooter was shot by responding police and arrested.[297][298]"
June 19,Oakland (1),California,0,15,15,"During a Juneteenth celebration near Lake Merritt, an illegal sideshow began, and a fight escalated, leading to fifteen people being struck by gunfire. One woman was also arrested for assaulting a police officer.[299]"
June 19,Philadelphia (7),Pennsylvania,0,7,7,"Three shooters opened fire at a crowd in the Allegheny West neighborhood on the city's north side, wounding seven, including a teenage girl. Police believe the victims were targeted.[300]"
June 18,Richmond,California,2,2,4,"Two people were killed, including a pregnant woman, and two others were injured in a shooting in the Iron Triangle neighborhood. Two of the shooting victims are juveniles.[301]"
June 17,Macon,Georgia,1,3,4,A woman was killed and three men were wounded in a shooting shortly before midnight.[302]
June 17,Chicago (13),Illinois,0,7,7,A shootout between two people in the West Englewood community on the city's southwest side left seven people injured in the crossfire.[303]
June 17,Chicago (12),Illinois,0,5,5,"A person fired into a crowd of people in the Humboldt Park community on the city's west side, wounding five, including three teenagers. A woman also suffered a broken ankle while fleeing the gunfire.[303]"
June 16,South Bend (1),Indiana,0,4,4,A shooting at a Marathon gas station left four people injured.[304]
June 16,Methuen,Massachusetts,0,7,7,"Seven people were shot during a gathering in a commercial area, including several teenagers, with one other sustaining a head injury while fleeing.[305]"
June 16,Pine Bluff,Arkansas,1,3,4,"Four people were shot, one fatally, in the parking lot of a lakeside park.[306]"
June 15,Detroit (5),Michigan,1,4,5,"Four females, including at least one teenager, and a man were shot in the Osborn area on the city's northeast side. One adult female was killed.[307]"
June 15,Northdale,Florida,3[n 1],1,4,A 19-year-old man killed his parents and injured one officer in a shootout. He was then shot and killed by officers.[308]
June 15,Round Rock,Texas,2,14,16,"Two people were killed and at least fourteen people were injured in a shooting at Old Settlers Park during a Juneteenth festival, which featured performances from artists such as Sean Ardoin and Paul Wall, when two groups opened fire on each other.[309][310]"
June 15,Cincinnati (1),Ohio,0,5,5,Five people were wounded in a shooting at an event being held at a park in the Madisonville neighborhood in the city's northeast side.[311]
June 15,Lathrup Village,Michigan,0,6,6,"A shooting at a party being held at a home wounded six, including several teenagers.[312]"
June 15,Tuskegee (1),Alabama,1,3,4,"A shooting at a gas station killed a man and injured three others, including a city fire marshal.[313]"
June 15,Rochester Hills,Michigan,1[n 1],9,10,"2024 Rochester Hills shooting: A man pulled up and exited his vehicle, approached a splash pad before opening fire, wounding nine people, including two children. The suspect died of a self-inflicted gunshot wound hours later after barricading himself in a house.[314][315]"
June 14,Mercer County,West Virginia,0,5[n 2],5,"Two family members opened fire on each other at a Days Inn east of Lilly Grove. One shooter and four bystanders, including a five-year-old, were struck by gunfire.[316]"
June 14,Franklin Park,Florida,1,4,5,A man was killed and four others were injured in a drive-by shooting.[317]
June 14,Columbus (3),Ohio,2,2,4,"Four people were shot, with two men being killed, at a nightclub in Downtown Columbus.[318]"
June 14,Chicago (11),Illinois,0,4,4,A drive-by shooting in the Calumet Heights community in the city's south side left three men and a woman injured.[319]
June 13,Chicago (10),Illinois,0,4,4,A drive-by shooting in the West Pullman community in the city's south side left three women and a man injured.[320]
June 12,Pasco County (1),Florida,4,0,4,A family of four was murdered and set ablaze east of Hudson. Officers found the bodies inside the burn pit two days later and arrested the suspect the next day.[321]
June 11,La Junta,Colorado,4[n 1],0,4,A murder-suicide at a home left two adults and two children dead.[322]
June 11,Lost Nation,Illinois,0,4[n 1],4,"Police responded to a person barricaded in a home threatening suicide. Police were then fired upon from inside the home, striking three officers, before the shooter was shot and injured and taken into custody.[323]"
June 11,Atlanta (4),Georgia,0,4[n 1],4,A man shot three people after an altercation at a mall food court in the Peachtree Center of Downtown Atlanta before being shot by a police officer.[324]
June 11,Memphis (7),Tennessee,0,5,5,"Four minors and an adult were injured in a shooting on I-240 in East Memphis. A car chase then occurred as police chased the suspects believed to be involved in the shooting, which resulted in an officer crashing in Raleigh. The suspects later crashed and were detained in Frayser.[325][326]"
June 9,Dallas (3),Texas,0,4,4,Three men and a teenage boy were shot in the Deep Ellum neighborhood in the city's east side overnight.[327]
June 9,Richmond (3),Virginia,0,4,4,Four people were shot in Downtown Richmond shortly before midnight.[328]
June 9,Washington (7),District of Columbia,0,6,6,"Six people were injured in a shooting in the Fairlawn neighborhood of Southeast DC, including three teenagers, during the late afternoon. A police officer crashed and was injured while responding to the scene.[329]"
June 9,Madison,Wisconsin,0,10,10,"Ten people were shot after at least one person opened fire at a rooftop party at an apartment complex near the University of Wisconsin–Madison campus, including several teenagers. Two people suffered other injuries.[330][331]"
June 8,Eufaula,Alabama,0,4,4,Four people were shot at a block party during the evening hours.[332]
June 8,Charlotte (3),North Carolina,0,4,4,"An argument in a business parking lot escalated when a man retrieved a firearm from his car and opened fire, striking four, in the Fourth Ward.[333]"
June 8,Sioux Falls (1),South Dakota,3,2,5,Three adults were found dead overnight and two others injured after police responded to a disturbance call.[334][335]
June 7,Beaufort County,South Carolina,0,4,4,A teenage girl was among four wounded in a shooting at a graduation party being held in the yard of a home east of Sheldon.[336]
June 7,Compton (3),California,1,5,6,One person was killed and five were injured in a shooting at a backyard birthday party in the evening.[337]
June 7,Jennings,Missouri,1,4,5,A shooting at a park left a man dead and four other men injured during the afternoon.[338]
June 6,Kansas City (6),Missouri,2,2,4,"A shooting at a home in a domestic violence incident left a man and a boy dead and two others, including another boy, injured in the Oak Park Northwest neighborhood.[339]"
June 3,Philadelphia (6),Pennsylvania,0,4,4,"Two men riding a moped opened fire on a group in the Fairhill neighborhood in the city's north side, wounding four, including two teenagers.[340]"
June 3,Dumfries,Virginia,1,3,4,"A 15-year-old boy was killed and three others, including two other teenagers, were wounded in a shooting during the late evening.[341]"
June 3,Memphis (6),Tennessee,0,4,4,Four people were wounded in a shooting in the Raleigh neighborhood in the city's north side.[342]
June 2,Pensacola,Florida,0,4,4,A large fight escalated into a shooting that wounded four shortly after midnight.[343]
June 2,St. Louis (2),Missouri,0,6,6,Six people were shot outside a bar in the Fairgrounds neighborhood in the city's north side.[344]
June 2,Newport News,Virginia,0,4,4,Four men were shot in the Chestnut neighborhood during the early morning hours.[345]
June 2,Penn Hills,Pennsylvania,2,7,9,A man and a woman were killed and seven others were injured in an exchange of gunfire inside a bar.[346]
June 2,Louisville (4),Kentucky,0,6,6,Six minors were wounded in a shooting during a party at a business.[347]
June 2,Akron (1),Ohio,1,29,30,A man was killed and at least twenty-nine others were injured in an overnight shooting at a street party.[348]
June 2,Kendale Lakes,Florida,4[n 1],0,4,Police discovered four bodies inside a home during afternoon. It was learned that a man fatally shot his parents and his partner before turning the gun on himself.[349]
June 1,Philadelphia (5),Pennsylvania,1,3,4,A shooting in the Cobbs Creek neighborhood in the city's west side left one man dead and three others injured.[350]
June 1,Columbus (2),Ohio,1,3,4,A man was killed and three others were injured in a shooting in the Mount Vernon neighborhood on the city's east side.[351]
June 1,Rock Hill,South Carolina,2,2,4,A man and a woman were killed and two others were injured in a shooting during a block party.[352]
June 1,Detroit (4),Michigan,1,3[n 1],4,"Four people were wounded in a shooting at a block party in the Miller Grove neighborhood on the city's westside, including a suspect by police gunfire.[353][354] One of the victims later died of her injuries.[355]"
June 1,Santan,Arizona,2,4,6,"Two people, including a police officer, were killed when at least one person opened fire on a crowd outside a home in the Gila River Indian Community during the early morning. Four others were injured, including another police officer.[356]"
May 30,DeKalb County,Georgia,0,6,6,A shootout at a home east of Candler-McAfee injured six men.[357]
May 30,Elkridge,Maryland,4[n 1],1,5,"A man fatally shot his wife, daughter, and daughter-in-law and injured his son before committing suicide at a town-home. A three-month-old baby was left unharmed.[358]"
May 30,Minneapolis (2),Minnesota,4[n 1],3,7,"2024 Minneapolis shooting: Two men were shot and killed in an apartment building in the Whittier neighborhood by a gunman. The gunman exchanged fire with police who responded to the scene, killing one officer and injuring three other people. The gunman was then killed. One injured victim later succumbed to his wounds on June 9.[359][360][361][362]"
May 28,Waterbury,Connecticut,0,4,4,Four people were shot during the late afternoon.[363]
May 27,Richmond (2),Virginia,2,2,4,"A 15-year-old boy and a man were killed and two others, including another teenager, were wounded in a shooting shortly before midnight in the Whitcomb neighborhood on the city's East End.[364]"
May 27,Sacramento,California,0,5,5,Five people were shot at an apartment complex in the Meadowview neighborhood on the city's south side.[365]
May 27,Lansing,Michigan,1,6,7,"A 17-year-old was killed and six other people, mostly teenagers, were injured in a late night shooting at a park in Downtown Lansing.[366]"
May 26,Chicago (9),Illinois,1,3,4,"A man was killed and three others, including a teenager, were injured in a shooting in the North Lawndale neighborhood of the city's West Side during the early morning.[367]"
May 26,Kansas City (5),Missouri,1[n 1],5,6,A man shot five people in the entertainment district of Westport on the city's south side before he was fatally shot by a public safety officer.[368]
May 26,Cleveland (1),Ohio,1,3,4,A man was killed and three other people were injured in a late night shooting in Downtown Cleveland.[369]
May 25,San Fernando,California,0,5,5,A man shot five people at a home before barricading himself. During a stand-off with police the man fired shots at an LAPD helicopter before he was arrested.[370]
May 25,North St. Paul,Minnesota,0,4,4,"Four people were injured, including a teenage boy, in a shooting at a park during the evening hours.[371]"
May 25,Fort Pierce (2),Florida,0,5,5,"Five people, including three teenagers, were wounded in a shooting shortly after midnight.[372]"
May 24,Hopkins Park,Illinois,2,3,5,Three people were injured and two were killed in a shooting during a party at a banquet hall shortly before midnight.[373]
May 22,Chester (1),Pennsylvania,2,3,5,"A man armed with a handgun shot five people at a linen business, killing two. The suspect was allegedly a disgruntled employee.[374]"
May 21,Harrisburg (2),Pennsylvania,0,4,4,Three people were found shot at an intersection in the Allison Hill neighborhood. A fourth person was also found shot on the next street over.[375]
May 21,Chicago (8),Illinois,0,4,4,Four men who were walking were shot when someone in a car pulled up and opened fire in the North Lawndale neighborhood on the city's west side.[376]
May 20,Detroit (3),Michigan,1,4,5,"A verbal argument escalated when a man pulled out a gun and fired multiple shots, killing another man and wounding four other people in the Bagley neighborhood in the city's northwest side.[377]"
May 18,Caswell County,North Carolina,3[n 1],2,5,A man fatally shot a woman and a juvenile and injured two other juveniles at a home in Stoney Creek Township. Alamance County deputies spotted the shooter in a car in Burlington and after commanding him to surrender he fatally shot himself.[378]
May 18,St. Louis (1),Missouri,1,3,4,A shooting in the Midtown neighborhood killed a man and injured three others.[379]
May 18,Bridgeton,Missouri,0,5,5,"Police responded to calls of around 100 vehicles being driven recklessly on Missouri Route 141 and a connecting road. Once police arrived they were fired upon from multiple vehicles and five people were struck by gunfire, none of them being officers.[380]"
May 18,Savannah,Georgia,0,11,11,"Shortly before midnight, a dispute between two women led to a shooting that left eleven people injured in Ellis Square.[381]"
May 18,Chicago (7),Illinois,0,6,6,"Three people opened fire on a group of men in the East Garfield Park neighborhood on the city's west side, wounding six.[382]"
May 18,Fort Pierce (1),Florida,3[n 1],1,4,"A man shot three, mortally wounding two, before being killed by police.[383]"
May 18,Sarasota County,Florida,1,4,5,A shooting during the early morning at a shopping plaza just outside of Sarasota killed one and injured four.[384]
May 18,Columbus (1),Ohio,3,3,6,An early morning shooting between the Weinland Park and Italian Village neighborhoods resulted in three people killed and three others wounded.[385]
May 12,Ridgeland,Mississippi,4[n 1],0,4,A man fatally shot his mother and his two adult sisters at a home before fleeing the state. Arizona Highway Patrol officers located him on U.S. 191 a day after the murders between Morenci and Clifton where he was fatally shot after brandishing a firearm at police.[386][387]
May 12,Riverview,Missouri,1,3,4,A 15-year-old boy was killed and three others were injured in a shooting during the evening hours.[388]
May 12,Tallahassee,Florida,2,2,4,Two men were killed and two others were injured in a shooting at a shopping center during the early morning hours.[389]
May 12,Northborough,Massachusetts,1,3,4,Shortly after midnight a partygoer flagged down police officers and told them that someone at a house party was brandishing a firearm. When police arrived they heard gunshots and found four people had been shot. A 16-year-old boy was killed.[390]
May 12,Atlanta (3),Georgia,2,4,6,Two people were killed and four were injured after a fight at a nightclub escalated into a shooting in the Colonial Homes neighborhood.[391]
May 11,Atlanta (2),Georgia,1[n 1],3,4,"Officers responded to a report of an armed man in the Capitol View neighborhood. When they arrived, they found a man armed with a handgun, and when one of them attempted to restrain him, he opened fire and struck three of them. They then returned fire, killing him.[392]"
May 11,Baldwin County,Alabama,3,15,18,Three people were killed and fifteen were injured in a shooting at a May Day event being held in a field north of Stockton.[393]
May 11,Louisville (3),Kentucky,2,2,4,Two men were killed and two others were injured in a shooting at a bar in the Southland Park neighborhood.[394]
May 8,Durham (1),North Carolina,1,3,4,"A man shot three men and a woman at an apartment complex, killing one of the men.[395]"
May 8,Bexar County,Texas,1,4,5,"Two people opened fire at a home in a targeted attack just outside of San Antonio, striking five, including three children. A four-year-old was killed.[396]"
May 8,Gwinnett County (2),Georgia,4[n 1],0,4,A man killed three children he was babysitting at a park before he killed himself just north of Tucker.[397]
May 6,Fort Wayne (1),Indiana,0,4,4,A large fight escalated into a shooting that wounded four in the Pettit-Rudisill neighborhood.[398]
May 5,Gallup,New Mexico,2,2,4,"A man shot four people, including a child, at a shopping mall during the early morning hours. Two men were killed.[399]"
May 5,Huntsville (1),Alabama,0,5,5,A shooting at a bar wounded five during the late evening hours.[400]
May 5,Birmingham (2),Alabama,1,6,7,A shooting outside a gas station in the Bush Hills neighborhood left one dead and six injured.[401]
May 5,Tuscaloosa County (2),Alabama,1,3,4,"An altercation at a home just outside of Tuscaloosa escalated into a shooting, leaving one dead and three injured.[402]"
May 4,Fresno (1),California,0,5,5,"A man got into an argument at a family gathering at a home. The man then returned to the gathering armed with two of his brothers, striking five, including a five-year-old and a teenager, as well as both of his brothers.[403]"
May 4,Buffalo,New York,1,5,6,A shooting at a house party in the Cold Springs neighborhood killed a 14-year-old girl and wounded five other teenagers.[404]
May 4,Long Beach,California,0,7,7,"Two people opened fire on a group outside a nightclub in the Davenport Park neighborhood, injuring seven, in what is believed to be a gang-related incident.[405]"
May 4,New York City (5),New York,1,3,4,A shooting at an event center where a baby shower was being held in the Richmond Hill area of Queens killed a man and injured three other men.[406]
May 4,Memphis (5),Tennessee,1,3,4,"Four people were shot, one fatally, near a shopping center in the Hickory Hill neighborhood.[407]"
May 4,Philadelphia (4),Pennsylvania,1,3,4,"An 18-year-old was killed and three others, including two other teenagers, were injured in a shooting at a home in the Kingsessing neighborhood.[408]"
May 3,Pulaski County & Russell County,Kentucky,3[n 1],1,4,"A woman fatally shot her husband outside their home in Pulaski County before driving southwest to the home of her sister in Russell County where she fatally shot her sister. She then drove northeast to the home of her brother where she forced herself inside, injuring him before he mortally wounded her in self-defense.[409]"
May 3,Westbury,New York,0,6,6,"Six people were shot at a birthday party, five of whom were minors.[410]"
May 2,Henrico County (1),Virginia,1,3,4,A shooting at an apartment complex during a cook-out killed a man and injured three other men just north of Richmond.[411]
May 1,Detroit (2),Michigan,0,4,4,"An altercation between two women at a park near Frank Cody High School on the city's west side lead to a man opening fire, hitting two women and two children. One of the women shot is pregnant.[412]"
May 1,Fort Worth (1),Texas,0,6,6,"A drive-by shooting outside an apartment complex wounded six, the youngest of whom was three years old and the oldest of whom was 19 years old.[413]"
April 29,Charlotte (2),North Carolina,5[n 1],4,9,2024 Charlotte shootout: Four police officers were killed and four others were injured in a shootout during a U.S. Marshals task force search for a wanted fugitive in the Shannon Park neighborhood. The subject of the warrant was also killed.[414][415]
April 29,Miami Gardens (1),Florida,0,5,5,"A fight amongst a group of students at Miami Norland Senior High School was brought off-campus to be discussed among a group of adults and teenagers. During the discussion, another fight occurred and an adult pulled out a gun and opened fire, striking two teenagers and three adults.[416]"
April 28,Hinds County,Mississippi,1,4,5,An argument among a group at a club just northeast of Utica escalated into a shooting that killed a man and injured four others.[417]
April 28,Kenner,Louisiana,1[n 1],5,6,"A man wanted for an armed robbery and shooting the previous week shot two more men whom he mistook for undercover police officers, which led to a standoff in which he shot three police officers before being killed by a police sniper.[418]"
April 28,Seminole County,Florida,0,10,10,"Ten people were shot when a 16-year-old boy opened fire early Sunday during a verbal altercation at Cabana Live, a restaurant and event venue near Sanford. The suspect was apprehended and booked into the juvenile detention center.[419][420]"
April 28,San Antonio (3),Texas,2[n 1],4,6,Two people were killed and four were injured in a late-night shootout involving police officers at Market Square during the Festival San Antonio. An 18-year-old man shot and killed another man before being fatally shot by police. Four bystanders were injured.[421][422]
April 28,Tucson (1),Arizona,1,3,4,A shooting during a party at a home killed a young woman and injured three others.[423]
April 28,Fitzgerald,Georgia,1,3,4,A 15-year-old opened fire at an after-prom party and killed another 15-year-old and wounded three other teenagers.[424]
April 27,Orangeburg County,South Carolina,1,3,4,A 16-year-old opened fire shortly after midnight at the end of an after-prom party for Lake Marion High School students and killed a 19-year-old and wounded three others.[425]
April 27,Mobile (2),Alabama,0,5[n 2],5,Five people were injured when two people opened fire upon each other at a barber shop in the Pleasant Valley neighborhood.[426]
April 27,Daytona Beach,Florida,0,4,4,Four people were injured after a street fight turned into a shooting in the Seabreeze neighborhood.[427]
April 26,Washington (6),District of Columbia,0,6,6,"A man who was kicked out of a bar pulled out a gun and shot six people, including a security guard, in the Dupont Circle neighborhood of in Northwest DC.[428]"
April 24,Springdale,Arkansas,2[n 1],2,4,A man shot and killed a woman and wounded two other people in a car before killing himself.[429]
April 22,Dinwiddie County,Virginia,0,5,5,"Five people, including two teenagers, were injured in a drive-by shooting outside an apartment complex southwest of Petersburg.[430]"
April 22,Oklahoma City (2),Oklahoma,5[n 1],0,5,A man killed his wife and three of their children before killing himself in their home near Yukon. A fourth child was found unharmed.[431]
April 21,Oak Forest,Illinois,1,3,4,"Two teenage girls and a 12-year-old girl were shot in a neighborhood. Authorities then tracked down and stopped a car believed to be involved in the shooting. Inside they found two people, one with a mortal gunshot wound to the head and a person of interest who was arrested.[432]"
April 20,Memphis (4),Tennessee,2,7,9,"At least two shooters opened fire and killed two people, while wounding seven others at a large block party being held at a park in the Orange Mound neighborhood.[433]"
April 20,Weirton,West Virginia,3[n 1],1,4,A man fatally shot two women and injured another at a home before committing suicide.[434]
April 19,Washington (5),District of Columbia,0,4,4,"A drive-by shooting outside a convenience store in the Trinidad neighborhood of Northeast DC wounded four, including a teenager.[435]"
